#TYPE System.Management.Automation.PSCustomObject
"Time","Site","ResponseTime","StatusCode","Description"
"2/16/2020 5:26:51 AM","http://pki.testko.com/pki","1.6","200","OK"
"2/16/2020 5:26:52 AM","http://pki-internal.testko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:26:52 AM","http://zwtpkia0007.na.testko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:26:52 AM","http://zwtpkia0016.na.testko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:26:53 AM","http://ocsp.testko.com/","1.3","200","OK"
"2/16/2020 5:26:53 AM","http://ocsp-internal.testko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:28:38 AM","http://10.115.42.147/","0","402","ConnectFailure"
"2/16/2020 5:30:23 AM","http://10.115.76.11/","0","402","ConnectFailure"
"2/16/2020 5:30:24 AM","http://zwtpkia0005.na.testko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:30:24 AM","http://zwtpkia0006.na.testko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:30:24 AM","http://zwtpkia0012.na.testko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:30:24 AM","http://zwtpkia0013.na.testko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:30:25 AM","http://pki.ko.com/pki","1.5","200","OK"
"2/16/2020 5:30:26 AM","http://pki-internal.ko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:30:26 AM","http://zwppkia0007.na.ko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:30:26 AM","http://zwppkia0014.na.ko.com/pki","0","402","NameResolutionFailure"
"2/16/2020 5:30:26 AM","http://ocsp.ko.com/","0.7","200","OK"
"2/16/2020 5:30:27 AM","http://ocsp-internal.ko.com/","0","402","NameResolutionFailure"
"2/16/2020 5:32:12 AM","http://10.115.42.147/","0","402","ConnectFailure"
"2/16/2020 5:33:57 AM","http://10.115.76.17/","0","402","ConnectFailure"
